ID,NAME,IDCARD,BIRTHDAY,PROVINCE,ADDRESS,PHONE,EMAIL,PASSPORTID,JUNGUAN,BANKCARD,ZUOJI,NASHUI2,GONGSHANG,QIYE,PROFESSIONAL,COMPANY,JIAZHAO,CHEJIAHAO,CHEPAIHAO,XUEWEI,ZHENGJIANHAO
11,柏妃婷,331021197310213951,1969-09-17,河南省周口市,山西省临汾市新北区天际苑53幢500室,17760767158,xibingmei@c7ayd.info,S25170744,后字第90128324号,6226654578068914760,0954-72353742,40210402906566779U,430000833168191,52499838-5,广播电视传输覆盖工程技术人员,熊小米（北京）文化传播有限公司,652985544513,HK3A0SFD85EYK1960,青ARC17U,相对不育症,政字第49721427号
12,巫马书蝶,511525196307136248,1937-06-20,四川省茂县,江苏省常州市新北区前桥新村06幢甲单元41041室,14873098628,lianfurong@a85xc.shop,S00029140,政字第26073033号,6225364304746553273,0412-49262365,423205834893320382,620922710530511,46032335-3,计算机检验工,青岛贝姿曼进出口有限公司,440169452088,WJK49TV38XWPD6527,鲁PVTQ00,无症状高尿酸血症,P35068924
13,孝沙玉,530128197207141028,1934-05-28,广东省江门市,吉林省通化市黄朗名园410栋58475号,15275595421,yangpanman@s5ave.net.cn,D67830684,沈字第52324915号,6221294157399744886,0421-31303916,17532926762391175D,310229466699183,58274688-0,顺丁橡胶生产工,成都小米芽茶叶有限公司,150427035060,B9C2LFA34LR460421,粤HVB3H4,心内膜良性肿瘤,140429194502103047
14,莫恺海,510302194508189930,1931-11-11,河北省邯山区,黑龙江省沈阳市鼓楼区怀德苑0幢甲单元41412室,15757960736,kuangxuelan@hk9be.com.cn,S95388929,南字第93443676号,6207077028454241336,0437-79345645,98150105057117247E,341423210354148,88927935-9,其他装饰石材生产人员,盘州市城关小米私房菜,542573321570,KSHUY37F97XC09401,津QKQ8TA,桡神经损伤,D50205822
15,沃洋萍,510822197804298257,1935-09-16,辽宁省大石桥市,江苏省常州市亭湖区青洋花苑63幢乙单元2414室,15618378462,maoweiqiu@qpsg8.info,D87039853,后字第57706906号,6214538142821561141,0575-66278975,24522729992659378N,510311037760337,29980392-3,铁路机务工程技术人员,颍上县小米网吧,330669593720,CE4XP85Y5RCJB9610,黑BYPBB5,腿脓肿,542424193809189463
16,谭妃婷,530127197811086807,1985-01-10,江苏省海安县,山东省山东省常州鼓楼区万福花园6幢乙单元237室,18755740496,ruifuyan@ojopr.top,S16135851,海字第26169686号,9000101662029734445,0733-86970195,97231085708616160T,441481688854250,25584008-7,纬编工,辽宁田庄农业科技发展有限公司,420558538835,YMA4PXC06DH1U8671,粤EUY7QG,脊髓膜交界恶性肿瘤,P55023200
17,牵思雁,140726194812174921,1995-06-20,江西省婺源县,山东省山东省常州鼓楼区万福花园4幢乙单元520室,13928299647,tengxiaoxue@9qzp3.net.cn,S84928959,装字第64397215号,6250914459813238555,0853-20891137,93210403156355063U,513422914997578,05380650-X,尸体防腐工,苏州小米云装饰工程有限公司,632586287226,EW7A8CLZ5APFM4275,蒙EX7R1Y,面部开放性伤口,P97421689
18,令怀寒,510304196211044134,1990-12-13,呼伦贝尔市根河市,河南省常州市相城区朝阳花园34幢7号,18732442576,shanefei@5kdb5.com,P82009274,北字第03762841号,9001056526016649598,0565-79925597,26430528160877849H,522223077664924,88825345-6,染料拼混工,常州小米家居有限公司,511408147734,9CUGEY4S7SBE95173,辽DFKQ71,三碘甲状腺原氨酸型甲状腺机能亢进,522225196806225356
19,藏胤雯,37142619600611543X,1994-10-22,江西省于都县,安徽省合肥市亭湖区河苑家园4141幢甲单元275室,18932380885,yuelianlei@vatnn.top,D58661485,济字第58780203号,6230072347114648046,0897-71143563,98632724936142507U,640221231480800,25526239-5,律师,肇州县三家子小米专业合作社,452189705592,8V9ZYR2K22YT96138,京LLQPSP,功能性腹泻,济字第19608499号
20,侨文璨,231225195802222989,1967-08-09,湖北省安陆市,浙江省宁波市镇海区站北新村95幢丙单元6418室,15712359255,jianhantian@vj72r.info,S49285932,成字第06692943号,6210379037247692332,0561-97999778,91632224218364061T,371402050595457,77474372-1,其他火药制造人员,江西大粮小米餐饮管理有限公司,542638189350,HTL4DY2376HXP5834,闽K6ZSXB,大叶性肺炎,E83288360
21,昔丞标,141033196011100733,1947-08-13,湖南省怀化市,安徽省镇江市相城区丽华41村50幢甲单元937室,14809667308,tietianshu@pb6q2.com.cn,E35872008,空字第28356446号,6214865156104430330,0539-21145955,491300000438418382,522628166823608,25264603-5,植物蛋白制作工,寻乌县小米辣椒专业合作社,411436614200,JP2VUS7A87V610847,冀AH4SQW,下颌骨骨折,G08278456
22,上官冰颜,230106200009012597,1993-09-14,四川省绵阳市,安徽省连云港市鼓楼区八星街道颜家村838号,15242257078,yurenmeng@u4jhq.top,S06879114,南字第84203120号,6214434174372574897,0562-42862301,75141123810510417B,130522529950038,30788696-9,焦化工程技术人员,哈尔滨世欣广告股份有限公司,511499183955,BFR403MU6XR1B4518,豫AC1FH1,口鼻瘘,后字第20651503号
23,楼谷兰,530630194204148780,1950-04-23,乌鲁木齐市新市区,山东省常州市亭湖区湖塘镇中村胡家村2号,15022358194,kuaihanning@c0iib.top,D37329570,南字第21605886号,6227530594216521322,0456-64433124,15150621947573816T,469030641593586,23708266-5,人力资源开发与管理工程技术人员,北京小米咖啡设备有限公司,513284789129,0V5WT7JF5XPKA8702,皖BTJQ84,单纯疱疹性外阴阴道炎,政字第52305597号
24,通宛筠,452229199202136484,1934-06-15,河北省宽城县,河北省常州市亭湖区潞城镇华丰路嘉州枫景苑99幢甲单元926,16505777929,moubingying@xh2hp.mobi,G37232985,广字第71824211号,3702868144804175854,0371-37932891,56231223121171060Y,451226838600327,50098985-5,高压线路架设工,龙岩市永定区小米糊贸易有限公司,440689646932,T7HB903J2XV8H2609,赣JAVJHL,急性气管炎,320404197512163983
25,司寇乐驹,410322194402067881,2007-05-21,浙江省杭州市,山东省临沂市亭湖区湖塘镇中村胡家村41号,15246018065,shangxiangjuan@8e2v5.com.cn,D78630406,海字第67034781号,4984512901433986289,0974-22285588,471304268632948065,140224637393984,84505735-9,卷烟卷接工,深圳小米链网络科技有限公司,210413138631,MGVY4JUZ16Y1G2074,吉JH57VH,眼科抗感染药中毒,532923193803284282
26,类佩妍,370802196212130809,1969-05-19,山东省临沂市,吉林省通化市黄朗名园62栋841804号,18208901244,jiechuliu@0o7tj.site,G16193821,空字第31447797号,6204052591831795676,0315-34847208,99420112226116134A,420704641541609,76738773-0,保育员,温州市小米卫浴有限公司,140382452967,VZ9JX38K8ADBL6501,粤L11M7N,三日疟疾伴有肝病,653223199205020700
27,戎湘颖,210727196908024438,1952-02-01,湖南省湘潭县,安徽省连云港市鼓楼区八星街道颜家村978号,18415017426,wuqianer@4840f.cn,D65668277,沈字第67394386号,6222662520087260725,0370-82169974,49140501038426382U,621200148720889,55925586-4,其他生活生产电力设备安装.操作、修理人员,海南小米装饰工程有限公司,542166210458,SCA1JXW053WRP2140,甘MD0FG5,外阴佩杰特氏病,21021119520810627X
28,资匕,452122194602128210,1940-01-24,四川省西充县,江苏省无锡市亭湖区延陵东路3417幢甲单元,14636174849,tiansishan@nkrsz.site,P98182904,后字第77096483号,6228139047736834942,0728-53200060,83370983340370663Y,610124856747836,95732872-3,农业科学研究人员,丰宁满族自治县大旺小米种植专业合作社,340139530563,C7WFJS099YDRY6173,川HJJWPK,心包钙化,D02690193
29,毓梦容,130533199905280129,1968-01-05,桂林市阳朔县,安徽省连云港市鼓楼区八星街道颜家村855号,18938620098,qianruxia@twuru.cn,E40516950,沈字第01606644号,6224189826026202037,0375-29818074,29620302584092664R,510704382495961,27988230-2,半导体分立器件、集成电路装调工,徐州小米矿山安全工程技术有限公司,341127036971,7Z1BY35HXX3H57349,京DPBAT4,社会病态性人格障碍,50024119510707232X
30,蔺冰洁,341204198008216247,1957-11-14,贵港市覃塘区,安徽省淮南市相城区崔堤半岛花园32幢甲单元2550室,18424394298,duyuqin@nz1qj.site,P33566292,成字第35879536号,6253365989918126428,0482-48328114,71140921145348904B,540100042711160,84977753-X,耐火原料加工工,云南小米渣科技有限公司,320230494147,DJMZ1AYT64EAU3187,沪FP1NSX,外胫骨,140402194912105846
31,百里丕福,620823198802138934,1930-02-01,哈密市巴里坤县,宁夏回族自治区中卫市亭湖区河苑家园55幢甲单元876室,18135506939,qianyihong@dbf7i.site,P70474718,济字第86190519号,6231397524490504086,8866-28991213,086540022117075430,422822149703111,68522506-8,电影电视导演,河南小米加餐饮管理有限公司,361176637425,U8G4EV507GM1Y8124,豫S5Y9HD,牙髓疾患,成字第91065459号
32,云滨红,150425198507277526,1938-08-12,呼伦贝尔市根河市,河南省清丰县双庙乡秦家村889号,15688516075,gengshana@d8vkz.com,D63011406,参字第89133102号,6225783491961677326,0571-62124672,351526293763183266,360982542513677,36299875-2,摩托车装配工,佛山市小米物流服务有限公司,420285591087,PYCAM5GD8WUGA5432,云GNTNJ0,新生儿皮下坏疽,S67428243
33,令狐妃丽,410825197602073151,1995-05-11,黑龙江省尚志市,甘肃省常州市鼓楼区向云新村09幢丁单元324室,14528638767,zhanmeizi@k5uv8.com.cn,G74127158,南字第57457311号,6222516948817665905,0396-35005351,293307839341978677,411522141603572,40992520-1,尸体防腐工,陕西小米文化传媒有限公司,341183852965,0RJPSFBU81U4F8391,晋CJ0U65,银屑病性关节炎,533528197301127278
34,强恺潞,21081119840125764X,1971-06-03,湖南省开福区,安徽省合肥市相城区聚景苑55幢甲单元323室,18269348119,zhenwenqi@o500x.net.cn,G94594369,参字第35669152号,6213787579713209505,0471-44244119,874306110270075810,431122048887888,86786976-1,印染烘干工,深圳市小米贸易有限公司,500336265429,XW879UH21P86M7265,皖MGMQD8,镁缺乏,330382197902096830
35,贡妹雨,340721198307292488,2005-08-02,兴安盟扎赉特旗,河南省常州市相城区朝阳花园410幢41号,14656126556,houpanfu@r3heb.site,S11571171,成字第00561882号,4910341464411908496,0770-75562298,08510181608090562G,411123662609502,52004246-6,土壤环境监测工,项城市小米商贸有限公司,350910394111,K2HAX4DE5GWV42091,黑EWT0LZ,泪道阻塞,北字第77374083号
36,朋妃怡,341182195409232969,1930-06-08,河南省安阳市,河南省常州市潞城镇潞城花苑24幢甲单元858室,18787229297,yaoyuanting@jjigx.mobi,G45922496,兰字第80261692号,6228413219353950700,0417-22015605,49371602767313533E,440602668214277,95022646-8,聚丁二烯生产工,深圳市小米贸易科技有限公司,350153486808,EHZJ4SAF6E1U99560,渝HZ0TG0,陈旧性上下颌骨骨折,S02074540
37,空曾盼颖,451027193808136225,1989-12-18,广东省梅州市,江苏省无锡市亭湖区延陵东路4412幢甲单元,15832130610,suibaiyun@q33lf.net.cn,S78326717,参字第69208371号,6212404133711449054,0974-87720880,911409288608494087,230705414219731,30376343-5,并条工,骏兴制衣（惠州）有限公司,532500075405,FD3YMGPV2PEV85169,粤PHPSU9,发育性共济障碍,D13152519
38,卷娥骝,130732194311025448,1949-08-01,山东省青岛市,安徽省连云港市鼓楼区八星街道颜家村604号,15849945695,yangxiangfang@qmbwm.mobi,D57030160,成字第83167897号,6282187024758552833,021-86694222,59522328452540361X,532723007529151,35080272-4,铁合金电炉冶炼工,北京欧楚琦科技发展有限公司,130586410339,Y7TB4WLP85WTG8426,豫A2KHAB,未特指的大脑半球的脑内出血,652222195406249143
39,所青丝,131124199810012239,1979-02-21,辽宁省清原县,黑龙江省沈阳市区朝阳二村208幢丙单元753室,18874777055,xiqi@65j9i.cn,G48676628,兰字第50497970号,6221810843107459348,0371-33786074,72411729297078394E,320582959028283,99740749-3,野生动物保护员,杭州小米环境工程有限公司,510823804168,FR3X2HVB4AGEV1065,黑MNWX87,选择性无乳,340402196006166125
40,邢娥妹,510322193811102886,1983-03-06,吴忠市利通区,河北省常州市亭湖区遥观镇宋剑湖家园922幢乙单元794室,14672989944,jipeiyan@zi4b5.shop,P68169772,成字第45454047号,6226781515571081659,0717-25707112,124408253414503787,110107804578850,39544403-5,环境辐射监测工,福州小米兔粮油食品有限公司,510675475453,6CGVB2FH0X2UJ5736,新FSGDTT,特塞梅特膜绉折,沈字第50509340号
41,濮佩颖,410181200002121030,1985-12-12,甘肃省酒泉市,黑龙江省哈尔滨市相城区青龙街道典前村23号,17437386399,digongxi@qw2se.mobi,P12573657,成字第09794928号,6215171358213846994,0939-68795022,125001149630657182,610721793414022,27554946-5,计算机网络技术人员,上海小米文化传播有限公司,500294144014,TBM5D7SK7GKR20547,渝A0KDE0,为盆腔囊肿给予的孕产妇医疗,成字第95243932号
42,谢小夏,610425199805011107,1931-09-13,上海市杨浦区,山东省山东省常州鼓楼区万福花园6幢乙单元264室,17555731729,xiangmoran@ypl7g.cn,S03425384,广字第26568591号,6212124812640073320,0715-39867572,244690399813870575,530926566504099,32380484-7,其他稀贵金属冶炼人员,河南猎茶儿网络科技有限公司,152658968916,E64ATMSV59HFP6357,蒙BY1FNZ,其他睾丸机能减退,513325194511188928
43,宛夏波,620321194402220199,1931-04-05,黑龙江省鸡西市,安徽省合肥市相城区聚景苑22幢甲单元420室,14551676350,songfan@sy7m5.shop,E62237028,兰字第63765930号,6283781592051167374,0440-43619490,54371000624603037T,130637865031407,56778409-6,其他裁剪缝纫和皮革、毛皮制品加工制作人员,唐山小米猪贸易有限公司,230636885514,5EBJ140X7WCJ09172,皖HJ10X9,倦睡,G99450005
44,缑丹妗,370102197506298064,1962-02-20,山西省保德县,江苏省常州市相城区工人新村南36幢649室,17512033985,guiyuyan@52ag2.shop,E50506814,广字第76685478号,6943015170199852590,0810-91121944,06361001582603914G,411123144240157,67380804-7,假山工,安徽华米信息科技有限公司,360658235942,7LW5HUDJ0EWPF5792,鄂J08ZUZ,直肠乙状结肠连接处动态未定的肿瘤,E54571652
45,空佩琴,522633196205077855,2000-12-12,柳州市柳城县,浙江省宁波市镇海区站北新村77幢丙单元8441室,13899657929,dianpanxue@vmmjm.cn,S13926676,成字第54026001号,6215637862627715313,0755-42569911,78340800445067403K,130133101745838,82809077-1,其他船舶指挥和引航人员,江门市小米电器科技有限公司,440935995893,EUD61RX08RRV50617,赣KPZS5Z,与教育和文化素养有关的问题,E30113866
46,秦乜栩,220203196502143772,1987-01-04,湖南省衡东县,河南省河南省常州市相城区采菱公寓48幢乙单元455室,15829090217,hanshishan@1i8or.net.cn,D24964797,沈字第80676229号,6225087195503204969,0901-43527638,34610321933252747L,610629709330297,92022724-0,尾矿处理工,临海市小米餐饮管理有限公司,530540229486,H0K2F3X92GE3B2513,吉EXXCYS,慢性风湿性心瓣膜炎,海字第73646616号
47,昝怀蝶,321081195401186333,1938-04-22,湖南省益阳市,安徽省张家港市戚墅堰区工房北区99幢丙单元937室,16519448457,yinruying@v6qef.mobi,P62256889,空字第29358750号,6210447734944057698,0932-70033392,50150206121478134C,511522457227727,97048077-0,分析仪器仪表装配工,武汉小米云投资控股集团有限公司,230512610515,F1TAEM7W03DJS2685,皖P51B91,直肠内异物,210811198312047640
48,委汝玉,65322719821015451X,1929-07-14,江西省安义县,江苏省常州市相城区茶山街道丽华村委虞家村85号,15796949592,choufeiyan@1onuk.com.cn,G83637169,后字第49876887号,6215301991607993536,0573-22288705,47321001871403391A,430424369463439,47628603-2,旅店服务员,广州小米信息服务有限公司,140438391108,89DRMFPY2PG049561,鲁S7DCKT,肩和上臂水平的多处肌肉和肌腱损伤,空字第52919707号
49,玄真,150426194707130092,1998-01-02,四川省雅安市,江苏省常州市亭湖区青洋花苑50幢乙单元439室,14952824299,chaoyisi@z41hy.net.cn,G16794014,空字第85177734号,6213707708801901155,0469-37892048,825304217726547447,640382836278266,64394792-7,装甲车辆驾驶试验工,贵州小米信息咨询有限公司,420506205274,F3PEDH5Y8KE985960,黑NSN32G,肝磷酸化酶激酶乏症,海字第72270469号
50,焉漫莉,420111197610033251,1998-05-24,克孜勒苏州阿图什市,安徽省合肥市相城区华润国际3幢739室,18153362676,zhugexianglu@3r0oi.info,S05540837,北字第47466456号,6036010840750272036,0931-84937896,22620826779429772W,320928739022659,64097844-5,放射科医师,青岛小米广告传媒有限公司,330167721170,0UMZJD18018ME6012,闽DBES9W,双相情感障碍不伴有精神病性症状的躁狂发作,广字第53465572号
51,万俟佩雪,130633194912291507,1958-04-21,福建省宁德市,安徽省张家港市戚墅堰区工房北区22幢丙单元4196室,18922736699,fangshayu@yzxh8.shop,S27890983,海字第54935334号,6224532006609808708,0715-53191153,822109116925835163,420381989938060,38305685-2,油墨制造工,山东小米酒业有限公司,410422393697,CFE27X8G2BCUM5798,皖RT1SH1,局限性淋巴结增大,430621198512184036
52,崇骁,230881197102030611,1930-02-20,湖北省襄阳市,河南省常州市潞城镇潞城花苑70幢甲单元375室,14657189184,yuyuying@ajawm.cn,E86077487,海字第85206876号,6231066716821445803,0858-70789494,91130825754218287R,152634484949961,76982460-7,其他水利设施管理养护人员,贵州省望谟县新屯办小米地村顺源魔芋种养殖专业合作社,440546223473,52SAPEMH8BHZR5708,皖M29ZDJ,氨基酸缺乏,360521199603247179
53,郦醉柳,36012419941029323X,1927-09-26,四川省中江县,山西省常州市相城区朝阳新村飞天小区4383甲单元41415室,15079281029,ruiwencan@kmdrp.site,D82583397,南字第56691478号,6270665286828619506,0482-74492804,844211210484378133,410322998666939,75360088-7,港口维护工,深圳市小米姑娘投资有限公司,431019965267,8TYEMZSF7TTRB7120,沪ND4HYY,强直性肌营养不良,济字第75880664号
54,祖潇娜,522731199906054070,1971-04-17,湖北省随州市,安徽省零安市相城区丽华二村2539幢甲单元270室,18843472771,shengyiduo@i9hlj.top,D99391395,广字第36292922号,6210807832170379119,0813-87552723,93623021391318695F,420101814389659,76064494-1,影视服装员,天津市佰思德食品有限公司,513269950501,DAX4KET70BLYA4180,沪M5M9ZS,身体多处水疱,P02981034
55,让默文,411681194212025784,2002-12-20,辽宁省铁东区,山西省常州市相城区朝阳新村飞天小区7267甲单元298室,13971002424,chuqin@2rvms.cn,E33899560,济字第80123860号,6259119206784178821,0415-71066339,50440923892359313K,330183472387672,49703666-5,卫生单位负责人,砚山县同和辣椒有限责任公司,130495480568,4CXUYVAR91BZG4295,津DBWUN1,其他先天性马尾神经畸形,430406194302197389
56,匡雨嫣,360121195209134328,1929-12-24,黑龙江省佳木斯市,山东省常州市戚墅堰区丁堰镇芳渚村委段家塘70号,14897260612,sumoyu@951sw.net.cn,D57382046,成字第32845031号,9843035996722580869,0471-52818437,68410400875012529D,510184387723361,96803966-0,伺服机构装配调试工,五莲县罗圈小米种植专业合作社,410330804593,2AP3CSWY46G871830,甘ARUJNJ,卡泽内夫氏病,北字第18122142号
57,欧阳雨颖,610202195507295654,1971-08-16,江苏省淮安市,安徽省合肥市鼓楼区西林街道邹傅村委朝东王家村44号,13664913130,zhangfurong@h4ij8.mobi,G68902781,南字第14530734号,5182129199296064725,0770-82220243,12469021750641996P,620000941757325,96976205-X,吹奏乐器制作工,温州小米步电子商务有限公司,130743778959,L5S7B3YM2V6AK5140,甘AHLBY0,单侧传导性听觉丧失对侧听觉不受限制,G62886284
58,信娥娥,120106196508222703,1990-02-08,山西省河津市,安徽省张家港市戚墅堰区工房北区541幢丙单元4107室,18841242137,lingshayan@xtl3s.net.cn,P13628827,装字第69627051号,6258316231116502756,0992-36556126,706205022038384547,542226847467526,64320256-2,多基火药制造工,武汉小米云端互联网科技有限公司,310163308559,F0E592YX58GLC2906,鲁Y41DKT,输尿管结石,G93828193
59,战珩,230716194104106257,1979-11-21,贵州省铜仁市,山西常州市鼓楼区陈度苑41幢甲单元0412室,18599931526,hongemei@kyjqu.site,G77137799,兰字第63549216号,6205373085664978433,0467-64941155,813506250277580824,421200023300721,57664976-9,平台水手,郑州小米地产顾问有限公司,220375593834,S25WAJYF9AKDX8061,川L4FR2V,眼和眶的其他损伤,D96495194
60,答听安,44080219690826503X,1938-12-04,湖北省鄂州市,安徽省淮南市相城区崔堤半岛花园418幢甲单元94127室,15143087286,longxiaoyan@8e7rz.shop,P51011162,空字第95973207号,6011782769366147713,0838-36694588,156402228702660069,530627025886301,62504689-3,湿纺原液制造工,张掖小米辣商贸有限公司,341299019768,3DM4F5919RGUY2018,甘F7TPQ5,多囊肾,D75647252
61,晋佩颖,350821197607101199,2002-11-19,贵州省黔东南州,甘肃省常州市鼓楼区向云新村66幢丁单元078室,14937004925,houshali@ii8hk.net.cn,P16974125,海字第04261349号,6223880721385578818,0512-48894902,24141025576584142G,230802527030798,45858380-X,其他电影电视制作及舞台专业人员,江山小米家居有限公司,510320807867,8FC2TZ6U94GK58761,桂FH0EXK,低色素性贫血,D19152695
62,频潇艳,510129193910030834,1964-01-15,江苏省苏州市,浙江省宁波市镇海区站北新村33幢丙单元285室,17457539648,dayiqiu@v1fgw.net,S27738531,广字第37045346号,6224150299309636989,0893-41879485,623507213998317018,100000922843196,78838029-8,其他木材加工、人造板生产及木材制品制作人员,邢台县郁秋小米加工厂,440187329247,YBRZGVX927RT02804,湘MJYUGT,胎儿和新生儿受母体妊娠并发症的影响,350421196809113335
63,旷潇洁,230303198204153899,1945-07-07,云南省河口县,河北省常州市亭湖区遥观镇宋剑湖家园029幢乙单元085室,13832469328,xuanyuanzhiqing@bnub6.mobi,E71675598,广字第31152382号,4041587055440784416,0769-43751377,533202116419452351,610303949109321,39988773-0,电影电视制片,上海小米圣思音响器材有限公司,620656654764,APT2FXUZ3G3ZE2850,川V5KJ5F,自服混合型镇静剂药,济字第08727943号
64,蒋元龙,210321198204127796,1997-06-15,江西省上饶市,黑龙江省沈阳市鼓楼区怀德苑4幢甲单元740室,15083163652,qizizhong@xa2k9.net.cn,D45469215,广字第04102448号,5666665137791227217,0537-36759504,393706836535157828,340202271112944,09580899-2,烟叶回潮工,双鸭山市岭东区东沟小米农民专业合作社,140465936289,S89C6PHL8JA960832,粤QDZP39,产科创伤,沈字第34713896号
65,符珊,433126196707086848,1943-02-02,湖北省荆门市,安徽省合肥市相城区华润国际0幢495室,15134412551,manyiyun@i4yrm.mobi,P03280107,政字第74319729号,6222865901817819078,0660-85982269,191528272523977147,140621687398701,85943963-0,铁路机车机械制修工,桂林市小米装饰工程有限公司,130205066063,3VJUGEYD3468Y8769,云MNRQZH,米勒哮喘性支气管痉挛性,北字第31668246号
66,卢滨秀,510104196408130123,1964-02-26,贵州省普安县,甘肃省常州市武警去湖塘镇新城域花园04幢丁单元334室,15623129751,jianruyu@4c1s3.top,S97382867,成字第27320350号,6225636822885813689,0576-35346108,13130703144066171E,110114470012894,77097364-2,烟叶调制工,织金自红小米椒种植基地,533224580218,ACFKZEWY3S1GH3649,藏F30ND7,肠病毒脑炎脊髓炎或脑脊髓炎,E37541263
67,绍昊焱,441702194301312588,1939-09-21,云南省大理州,山东省常州市亭湖区湖塘镇中村胡家村9号,13854437656,xijueyin@d1ide.site,P11951241,济字第24904484号,6255268220281512645,0735-89237083,15430721601159543N,441881023036321,52987507-7,其他乐器演奏员,明水县君祥小米专业合作社,530143222499,MAUH9PKW55SPD5690,云EAXFFG,舌交搭跨越的恶性肿瘤,500114198003043240
68,商夫秀,533522197312160307,2005-07-28,福建省海沧区,河北省常州市亭湖区遥观镇宋剑湖家园41241幢乙单元41441室,13575274083,miupinghui@ly0bt.cn,D71308779,海字第31523574号,4041745318053781379,0398-28996456,19451226955434035F,542422594234803,94408598-8,精密仪器仪表修理工,江山小米家居有限公司,511315244297,H3VFYCL151K4R7130,桂FBKUMU,脑动脉供血不足,装字第23460190号
